loan_id,no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term,fico_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
1,2, Graduate, No,96000,299000,12,778,24000,176000,227000,80000, Approved
2,0, Not Graduate, Yes,41000,122000,8,417,27000,22000,88000,33000, Rejected
3,3, Graduate, No,91000,297000,20,506,71000,45000,333000,128000, Rejected
4,3, Graduate, No,82000,307000,8,467,182000,33000,233000,79000, Rejected
5,5, Not Graduate, Yes,98000,242000,20,382,124000,82000,294000,50000, Rejected
6,0, Graduate, Yes,48000,135000,10,319,68000,83000,137000,51000, Rejected
7,5, Graduate, No,87000,330000,4,678,225000,148000,292000,43000, Approved
8,2, Graduate, Yes,57000,150000,20,382,132000,57000,118000,60000, Rejected
9,0, Graduate, Yes,8000,22000,20,782,13000,8000,28000,6000, Approved
10,5, Not Graduate, No,11000,43000,10,388,32000,14000,33000,16000, Rejected
11,4, Graduate, Yes,29000,112000,2,547,81000,47000,95000,31000, Approved
12,2, Not Graduate, Yes,67000,227000,18,538,153000,58000,204000,64000, Rejected
13,3, Not Graduate, Yes,50000,116000,16,311,64000,96000,146000,43000, Rejected
14,2, Graduate, Yes,91000,315000,14,679,108000,166000,209000,50000, Approved
15,1, Not Graduate, No,19000,74000,6,469,19000,12000,59000,19000, Rejected
16,5, Not Graduate, No,47000,107000,10,794,57000,39000,164000,44000, Approved
17,2, Graduate, Yes,5000,16000,4,663,13000,1000,13000,7000, Approved
18,4, Not Graduate, Yes,29000,94000,14,780,29000,28000,67000,43000, Approved
19,2, Graduate, No,27000,103000,10,736,10000,0,62000,33000, Approved
20,5, Graduate, No,63000,146000,12,652,103000,35000,235000,59000, Approved
21,2, Graduate, No,50000,194000,12,315,95000,16000,180000,61000, Rejected
22,4, Graduate, No,58000,140000,16,530,38000,113000,222000,54000, Rejected
23,4, Graduate, Yes,65000,257000,18,311,131000,17000,195000,85000, Rejected
24,0, Not Graduate, Yes,5000,14000,2,551,9000,6000,11000,3000, Approved
